sp,interp,param_or_ic_label,role,truth_val,estimate,actual_delta,predicted_delta,ift_mismatch,worst_dd_rel,cond_J,n_solutions_prod,closest_dist
4.00000,aaad_gpr,In_0,state_ic,4.180000e-01,9.346892e+17,9.346892e+17,-4.384437e-39,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,Npop_1,state_derivative,NaN,NaN,0.000000e+00,-1.536547e-51,NaN,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,Npop_3,state_derivative,NaN,NaN,0.000000e+00,1.024364e-51,NaN,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,S_1,state_derivative,NaN,NaN,-7.341253e+31,1.428688e-52,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,S_2,state_derivative,NaN,NaN,-3.539914e+47,-5.207201e-53,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,S_0,state_ic,6.470000e-01,-1.522466e+16,-1.522466e+16,8.455970e-54,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,In_1,state_derivative,NaN,NaN,-1.031739e+18,3.706683e-54,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,In_2,state_derivative,NaN,NaN,1.207915e+33,8.481736e-55,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,b_0,parameter,4.140000e-01,1.046241e+02,1.042101e+02,-1.941990e-57,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,a_0,parameter,1.870000e-01,-3.810476e-01,-5.680476e-01,-7.478750e-64,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,Npop_0,state_ic,3.210000e-01,3.209988e-01,-1.229719e-06,4.529709e-67,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,Npop_4,state_derivative,NaN,NaN,0.000000e+00,1.062189e-67,NaN,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,S_3,state_derivative,NaN,NaN,-1.706928e+63,2.159901e-68,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,In_3,state_derivative,NaN,NaN,5.824504e+48,3.517970e-70,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,E_3,state_derivative,NaN,NaN,1.689859e+65,-1.090692e-70,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,E_2,state_derivative,NaN,NaN,3.504515e+49,-9.063654e-72,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,nu_0,parameter,2.770000e-01,1.312932e+00,1.035932e+00,-1.718487e-80,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,S_4,state_derivative,NaN,NaN,-8.230719e+78,-7.550795e-84,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,In_4,state_derivative,NaN,NaN,2.808545e+64,3.825844e-86,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,In_5,state_derivative,NaN,NaN,1.354266e+80,2.379291e-86,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,E_4,state_derivative,NaN,NaN,8.148412e+80,-1.236012e-86,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,E_1,state_derivative,NaN,NaN,7.267840e+33,-5.638996e-87,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,E_0,state_ic,1.820000e-01,-5.787150e+18,-5.787150e+18,1.322384e-97,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,In_6,state_derivative,NaN,NaN,6.530200e+95,-4.934295e-102,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
4.00000,aaad_gpr,E_5,state_derivative,NaN,NaN,3.929122e+96,-3.871310e-102,1.000000e+00,7.348361e+02,1.189117e+192,4,3.983018e+96
33.44000,aaad_gpr,a_0,parameter,1.870000e-01,-1.061357e+01,-1.080057e+01,-2.078382e-100,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,Npop_1,state_derivative,NaN,NaN,1.472391e-50,-4.770459e-105,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,b_0,parameter,4.140000e-01,1.616173e-01,-2.523827e-01,8.669710e-114,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,Npop_0,state_ic,3.210000e-01,3.209988e-01,-1.229719e-06,6.722166e-114,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,nu_0,parameter,2.770000e-01,1.705807e-01,-1.064193e-01,-7.558137e-126,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,Npop_2,state_derivative,NaN,NaN,1.820528e-52,-4.697114e-129,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,In_0,state_ic,4.180000e-01,5.906023e+26,5.906023e+26,-2.926081e-131,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,In_1,state_derivative,NaN,NaN,-1.713419e+27,-2.592807e-132,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,S_0,state_ic,6.470000e-01,4.299269e+25,4.299269e+25,-1.855113e-147,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,Npop_3,state_derivative,NaN,NaN,-2.425883e-53,-1.541632e-153,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,S_1,state_derivative,NaN,NaN,1.309921e+50,1.400187e-155,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,In_2,state_derivative,NaN,NaN,-2.155318e+51,-2.552942e-156,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,Npop_4,state_derivative,NaN,NaN,0.000000e+00,-1.686588e-178,NaN,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,S_2,state_derivative,NaN,NaN,3.991126e+74,-5.820136e-180,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,S_3,state_derivative,NaN,NaN,1.216034e+99,3.836806e-180,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,In_3,state_derivative,NaN,NaN,-6.566919e+75,-8.378969e-181,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,In_5,state_derivative,NaN,NaN,-6.096246e+124,1.516385e-183,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,E_4,state_derivative,NaN,NaN,-3.668018e+125,-2.520231e-184,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,In_4,state_derivative,NaN,NaN,-2.000839e+100,1.134256e-184,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,E_0,state_ic,1.820000e-01,-1.004357e+28,-1.004357e+28,-4.423534e-186,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,S_4,state_derivative,NaN,NaN,3.705068e+123,6.707422e-204,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,E_3,state_derivative,NaN,NaN,-1.203874e+101,7.873986e-207,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,In_6,state_derivative,NaN,NaN,-1.857432e+149,-4.976900e-208,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,E_5,state_derivative,NaN,NaN,-1.117588e+150,8.271608e-209,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,E_2,state_derivative,NaN,NaN,-3.951215e+76,2.708391e-217,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
33.44000,aaad_gpr,E_1,state_derivative,NaN,NaN,-1.296822e+52,9.126921e-241,1.000000e+00,8.898033e+02,7.678903e+255,2,1.132918e+150
13.00000,aaad_gpr,a_0,parameter,1.870000e-01,1.481048e+00,1.294048e+00,3.760030e-91,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,Npop_1,state_derivative,NaN,NaN,0.000000e+00,-4.444244e-97,NaN,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,b_0,parameter,4.140000e-01,-1.926539e-01,-6.066539e-01,3.753619e-102,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,Npop_0,state_ic,3.210000e-01,3.209988e-01,-1.229719e-06,2.910415e-102,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,nu_0,parameter,2.770000e-01,-1.046237e+00,-1.323237e+00,4.902247e-113,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,Npop_2,state_derivative,NaN,NaN,0.000000e+00,-1.568857e-117,NaN,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,In_1,state_derivative,NaN,NaN,-8.678982e+22,-8.660089e-121,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,In_0,state_ic,4.180000e-01,1.647330e+23,1.647330e+23,-3.572271e-121,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,S_0,state_ic,6.470000e-01,-1.635710e+20,-1.635710e+20,1.592465e-135,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,Npop_3,state_derivative,NaN,NaN,0.000000e+00,-1.846067e-138,NaN,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,S_1,state_derivative,NaN,NaN,-1.390088e+41,1.676689e-140,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,In_2,state_derivative,NaN,NaN,2.287222e+42,-3.057086e-141,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,S_2,state_derivative,NaN,NaN,-1.181349e+62,2.026955e-159,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,In_5,state_derivative,NaN,NaN,1.403835e+105,-1.652823e-159,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,S_3,state_derivative,NaN,NaN,-1.003954e+83,-1.207605e-159,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,Npop_4,state_derivative,NaN,NaN,0.000000e+00,-7.240860e-160,NaN,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,E_4,state_derivative,NaN,NaN,8.446662e+105,2.746991e-160,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,In_4,state_derivative,NaN,NaN,1.651887e+84,-1.236311e-160,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,In_3,state_derivative,NaN,NaN,1.943768e+63,-3.597259e-162,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,E_0,state_ic,1.820000e-01,-4.480613e+23,-4.480613e+23,-5.862478e-173,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,S_4,state_derivative,NaN,NaN,-8.531982e+103,5.527698e-180,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,In_6,state_derivative,NaN,NaN,1.193032e+126,1.944869e-180,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,E_5,state_derivative,NaN,NaN,7.178291e+126,-3.232372e-181,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,E_3,state_derivative,NaN,NaN,9.939149e+84,1.927524e-181,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,E_2,state_derivative,NaN,NaN,1.169535e+64,-1.063329e-187,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
13.00000,aaad_gpr,E_1,state_derivative,NaN,NaN,1.376187e+43,-4.360551e-206,1.000000e+00,1.195587e+03,1.867755e+227,4,7.276757e+126
